Coureur,Equipe,Cout Fantasy,Class. Général,Class. Montagne,Class. Points,Class. Jeune,Points Class. Etape,Fantasy Score,Rentabilité (Score / Cout)
Jonas Vingegaard,Jumbo-Visma,23,1,8,13,,327,65,2.8
Tiesj Benoot,Jumbo-Visma,14,35,,45,,51,8,0.6
Wilco Kelderman,Jumbo-Visma,12,19,,70,,59,12,1.0
Sepp Kuss,Jumbo-Visma,15,10,,63,,96,21,1.4
Christophe Laporte,Jumbo-Visma,16,118,,,,16,0,0.0
Wout van Aert,Jumbo-Visma,23,25,9,3,,362,42,1.8
Dylan van Baarle,Jumbo-Visma,13,63,30,,,11,3,0.2
Nathan Van Hooydonck,Jumbo-Visma ,6,83,,,,7,1,0.2
Tadej Pogacar,UAE Team Emirates ,23,2,5,7,1,516,97,4.2
Mikkel Bjerg,UAE Team Emirates ,11,143,,,24,1,0,0.0
Felix Großschartner,UAE Team Emirates ,14,40,,,,17,7,0.5
Vegard Stake Laengen,UAE Team Emirates ,8,128,,,,2,0,0.0
Rafal Majka,UAE Team Emirates ,13,29,,,,21,9,0.7
Marc Soler,UAE Team Emirates ,11,91,,,,4,1,0.1
Matteo Trentin,UAE Team Emirates ,14,142,,57,,12,0,0.0
Adam Yates,UAE Team Emirates ,17,6,,12,,304,32,1.9
Egan Bernal,Ineos Grenadiers,14,24,,,,30,10,0.7
Jonathan Castroviejo,Ineos Grenadiers,11,23,,,,23,10,0.9
Omar Fraile,Ineos Grenadiers,8,62,,,,9,3,0.4
Michał Kwiatkowski,Ineos Grenadiers,13,44,13,52,,28,9,0.7
Daniel Felipe Martinez,Ineos Grenadiers,16,46,10,56,,77,13,0.8
Tom Pidcock,Ineos Grenadiers,18,9,,24,3,178,38,2.1
Carlos Rodríguez,Ineos Grenadiers,14,5,,30,2,184,48,3.4
Ben Turner,Ineos Grenadiers,10,108,,,19,3,0,0.0
David Gaudu,Groupama-FDJ,18,7,,34,,169,26,1.4
Kevin Geniets,Groupama-FDJ,9,53,,,,12,4,0.4
Stefan Küng,Groupama-FDJ,14,71,,,,12,2,0.1
Olivier Le Gac,Groupama-FDJ,5,156,,,,1,0,0.0
Valentin Madouas,Groupama-FDJ,14,28,,73,,59,9,0.6
Quentin Pacher,Groupama-FDJ,11,76,,,,13,2,0.2
